Empresa,Correo,Ciudad,Estado,Fuente
"ICA FLÚOR DANIEL, S. DE R.L. DE C.V. INDUSTRIAS DE HIERRO, S.A. DE C.V.",oscar.matamoros@icafluor.com,"México, CIUDAD",DE,535065788-HMExport16a_extraccion_forense.md; 687828781-DirImport26-Base-de-Datos-Nacional_extraccion_forense.md
"NACIONAL DE COBRE, S.A. DE C.V. (NACOBRE) INDUSTRIAS NACOBRE, S.A. DE C.V. Y SUBSIDIARIAS",maespadas@elementia.com,"México, CIUDAD",DE,535065788-HMExport16a_extraccion_forense.md
Grupo Gigante S.A. de C.V.,rperagal@gigante.com.mx,Miguel Hidalgo,Ciudad de México,540169610-DIRECTORIO-DE-EMPRESAS-NACIONALES(1)_extraccion_forense.md; 74307275-9685097577_extraccion_forense.md
Grupo Alvaze la Compañía Quecholac,fernando.rocha@grupo-alvaze.com; nicerm@hotmail.com.mx,,Puebla,540169610-DIRECTORIO-DE-EMPRESAS-NACIONALES(1)_extraccion_forense.md
Industrias Alen S.A. de C.V.,rosa.garcia@alen.com.mx,Santa Catarina,Nuevo León,540169610-DIRECTORIO-DE-EMPRESAS-NACIONALES(1)_extraccion_forense.md; 622098401-HMEmpresarios20a_extraccion_forense.md
ECOLOGICA GRUPO PROMOTOR SA DE CV,jmm@trataragua.com; administracion@trataragua.com,San Luis Potosi,San Luis Potosi,560262945-Directorio_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md
GRUPO INDUSTRIAL MEXIQUENSE DEL AGUA S.A. DE C.V.,ventascentro@gimasa.com.mx,Amecameca,México,560262945-Directorio_extraccion_forense.md
GRUPO PANDO,susanaquintanar@grupopando.com,,Ciudad de México,564645792-Industridata-empresas-AA(1)_extraccion_forense.md; 58974812-Directorio-esn-empresas_extraccion_forense.md
"URBI, DESARROLLOS URBANOS, S.A.B. DE C.V.",enrique.pozo@urbi.com,Álvaro Obregón,Baja California,564645792-Industridata-empresas-AA(1)_extraccion_forense.md
CORPORATIVO ATELIER SA DE CV,jonatan@atelier.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,583034336-Pad-Imp_extraccion_forense.md; 622098401-HMEmpresarios20a_extraccion_forense.md
"DLG INDUSTRIAS, S.A. DE C.V.",ventas@dlg.com.mx,Pesquería,Nuevo León,583034336-Pad-Imp_extraccion_forense.md; 699392889-Industridata-empresas-A_extraccion_forense.md
"Grupo Antolín Silao, S.A. de C.V.",,Silao,Gto.,583034336-Pad-Imp_extraccion_forense.md; 709159866-CHANGE-ME-PLEASE_extraccion_forense.md
GRUPO BIBLIOINFORMA SA DE CV,sistemas@sibi.com.mx,Ciudad de México,CDMX,583034336-Pad-Imp_extraccion_forense.md; 655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
Grupo Cima Automotriz S.A. de C.V.,,Torreón,Coah.,583034336-Pad-Imp_extraccion_forense.md; 709159866-CHANGE-ME-PLEASE_extraccion_forense.md
GRUPO CONCOAR SA DE CV,concoar.direccion@gmail.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,583034336-Pad-Imp_extraccion_forense.md; 622098401-HMEmpresarios20a_extraccion_forense.md
GRUPO HEIN INTERNATIONAL LOGISTICS AND GOODS S.A. DE C.V.,albertoinfante@grupohein.com,,Estado de México,583034336-Pad-Imp_extraccion_forense.md; 746727482-Empresas-Rp-Ago-dic-2023_extraccion_forense.md
"Grupo Industrial CyF, S.A. de C.V.",,San Luis Potosí,S.L.P.,583034336-Pad-Imp_extraccion_forense.md; 709159866-CHANGE-ME-PLEASE_extraccion_forense.md
GRUPO INDUSTRIAL MIRO SA DE CV,elizabeth.gutierrez@grupomiro.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,583034336-Pad-Imp_extraccion_forense.md; 622098401-HMEmpresarios20a_extraccion_forense.md
GRUPO MÉXICO TECNOINDUSTRIAL SA DE CV,jgaona@grupomexico.com.mx,Ciudad de México,CDMX,583034336-Pad-Imp_extraccion_forense.md; 655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
"Grupo Palancas, S.A. de C.V.",,El Marqués,Qro.,583034336-Pad-Imp_extraccion_forense.md; 709159866-CHANGE-ME-PLEASE_extraccion_forense.md
GRUPO SALSA SA DE CV,cecy.cortes@pontesalsa.com; contabilidad@pontesalsa.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,583034336-Pad-Imp_extraccion_forense.md; 622098401-HMEmpresarios20a_extraccion_forense.md
Grupo Schumex S.A. de C.V.,,Matamoros,Tamps.,583034336-Pad-Imp_extraccion_forense.md; 709159866-CHANGE-ME-PLEASE_extraccion_forense.md
"GRUPO SECÚRITAS MÉXICO, S.A. DE C.V.",sergio.gonzalez@securitas.com.mx,Pte,Hidalgo,583034336-Pad-Imp_extraccion_forense.md; 74307275-9685097577_extraccion_forense.md
"Grupo Unitop, S.A. de C.V.",,México,D.F.,583034336-Pad-Imp_extraccion_forense.md; 709159866-CHANGE-ME-PLEASE_extraccion_forense.md
INDUSTRIAS ABADIMEX SA DE CV,abadimex@hotmail.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,583034336-Pad-Imp_extraccion_forense.md; 622098401-HMEmpresarios20a_extraccion_forense.md
"Industrias Automotrices LODI, S.A. de C.V.",,Monterrey,N.L.,583034336-Pad-Imp_extraccion_forense.md; 709159866-CHANGE-ME-PLEASE_extraccion_forense.md
"INDUSTRIAS AUTOMOTRICES RC, S.A. DE C.V.",recursoshumanos@rc.com.mx; aux.rh@rc.com.mx,Ciudad de México,Ciudad de México,583034336-Pad-Imp_extraccion_forense.md; 746727482-Empresas-Rp-Ago-dic-2023_extraccion_forense.md
"Industrias Asturias, S.A. de C.V.",,Leon,Gto.,583034336-Pad-Imp_extraccion_forense.md; 709159866-CHANGE-ME-PLEASE_extraccion_forense.md
INDUSTRIAS DK SA DE CV,yperez@america.com.mx; ventas@america.com.mx,Ciudad de México,CDMX,583034336-Pad-Imp_extraccion_forense.md; 655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
"Industrias de Linamar, S.A. de C.V.",,Gómez Palacio,Dgo.,583034336-Pad-Imp_extraccion_forense.md; 709159866-CHANGE-ME-PLEASE_extraccion_forense.md
Industrias Memper S.A. de C.V.,,Tlalnepantla,Edo. Mex.,583034336-Pad-Imp_extraccion_forense.md; 709159866-CHANGE-ME-PLEASE_extraccion_forense.md
INDUSTRIAS QUICER,leonel.jorge@quicer.com.mx,Nueva Anzures,Hidalgo,583034336-Pad-Imp_extraccion_forense.md; 690888392-MAYORISTAS-1_extraccion_forense.md
INDUSTRIAS SELKIRK DE MÉXICO SA DE CV,,Ciudad de México / área metropolitana,CDMX / área metropolitana,583034336-Pad-Imp_extraccion_forense.md; 622098401-HMEmpresarios20a_extraccion_forense.md
"Industrias Sandoval de Occidente, S.A. de C.V.",,Tlaquepaque,Jal.,583034336-Pad-Imp_extraccion_forense.md; 709159866-CHANGE-ME-PLEASE_extraccion_forense.md
GRUPO EULEN DE MÉXICO SERVICIOS SA DE CV,maleal@eulen.com; informacion@eulen.com; mesadeayuda@eulen.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
GRUPO BENEDETTI'S SA DE CV,recepcionb5@benedettis.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
GRUPO GIOVANNI'S SA DE CV,recepcionb5@benedettis.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
GRUPO LANWARE SA DE CV,mario.buzzolini@lanware.net.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
GRUPO GICSA SAB DE CV,ggonzalez@gicsa.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
GRUPO MILTEX SA DE CV,echavez@textivision.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
CONSORCIO GRUPO HOTELERO T2 SA DE CV,,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
GRUPO HOTELERO MONTERREY SA DE CV,,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
SERVICIOS CORPORATIVOS HOTELEROS SA DE CV,,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
SERVICIOS CORPORATIVOS KRYSTAL ROSA SA DE CV,,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
SERVICIOS CORPORATIVOS CADUCEO SA DE CV,ipasafacturasfiscal@gmail.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
GRUPO SEYPRO SA DE CV,gruposeypro@prodigy.net.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
GRUPO HABER'S SA DE CV,moises@habers.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
GRUPO TEXTIL FL SA DE CV,,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
GRUPO CHINOIN SA DE CV,hagsater@chinoin.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md; 74307275-9685097577_extraccion_forense.md
GRUPO ACIR NACIONAL SA DE CV,emota@grupoacir.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md; 74307275-9685097577_extraccion_forense.md
GRUPO MONTPARNASSE OCEANÍA SA DE CV,ricardojaime@montparnasse.com.mx; ilze.contreras@montparnasse.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
GRUPO EMPRESARIAL PERIODÍSTICO SA DE CV,internet@cronica.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
GRUPO COMERCIAL MILANO SA DE CV,ivett.flores@melody-milano.com.mx; atencion.milano@milano.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
SERVICIOS CORPORATIVOS MILANO MELODY SA DE CV,ivett.flores@melody-milano.com.mx; atencion.milano@milano.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
GRUPO KALTEX SA DE CV,cmmunoz@kaltex.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
CORPORATIVO GOIBE SA DE CV,corp@cgoibe.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
GRUPO NEOLPHARMA SA DE CV,viridiana.martinez@psicofarma.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
CORPORATIVO CORVI SA DE CV,imsaul@sahuayo.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
GRUPO XTRA SA DE CV,jlazcano@casasaba.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
GRUPO CASA SABA SAB DE CV,jesus@irandpr.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md; 74307275-9685097577_extraccion_forense.md
GRUPO INDUSTRIAL JSS SA DE CV,corpuni@unifforme.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
GRUPO FINANCIERO MULTIVA SAB DE CV,dircomercialbanco@multiva.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
GRUPO RADIO DIGITAL DEL SURESTE SA DE CV,chapultepecradio@yahoo.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
GRUPO PROPULSA SA DE CV,atornell@clubcasablanca.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,622098401-HMEmpresarios20a_extraccion_forense.md
GRUPO DEMOS SA DE CV,farista@gdemos.com.mx,Ciudad de México,CDMX,655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
CORPORATIVO RNB SA DE CV,jaimemestaciondeservicio@hotmail.com,Ciudad de México,CDMX,655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
GRUPO HERMES INFRAESTRUCTURA SA DE CV,,Ciudad de México,CDMX,655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
GRUPO PIM SA DE CV,grupopim@prodigy.net.mx,Ciudad de México,CDMX,655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
INDUSTRIAS LUART SA DE CV,luart@balastros.mx; ventashid1@yahoo.com; escolanogr@gmail.com,Ciudad de México,CDMX,655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
INTERNACIONAL CORPORATIVA ADUANAL MEXICANA SA DE CV,direccion@incamex.com.mx,Ciudad de México,CDMX,655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
AVALÚOS CORPORATIVOS LUMAN SA DE CV,luman2@prodigy.net.mx,Ciudad de México,CDMX,655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
GRUPO PROFESIONAL EN ARTÍCULOS PROMOCIONALES SA DE CV,grupasa_rm@hotmail.com,Ciudad de México,CDMX,655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
MULTIVALORES SERVICIOS CORPORATIVOS SA DE CV,car.palominoo@hotmail.com,Ciudad de México,CDMX,655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
GRUPO INMOBILIARIO ALCO SA DE CV,galmazan@almazanarquitectos.com,Ciudad de México,CDMX,655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
GRUPO COMERCIAL CHEDRAUI SAB DE CV Constituyentes 1150 Col Lomas Altas,lgarciar@chedraui.com.mx,Ciudad de México,CDMX,655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
TMM DIRECCIÓN CORPORATIVA SAPI DE CV,alejandra.mendieta@tmm.com.mx,Ciudad de México,CDMX,655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
SERVICIOS CORPORATIVOS PORTUARIOS SA DE CV,margarita.rubio@hlag.com,Ciudad de México,CDMX,655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
GRUPO ISUCO SA DE CV,sonia.sanchez@isuco.com.mx,Ciudad de México,CDMX,655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
GRUPO IMAGEN CORPORATIVO SA DE CV,grupoimagencor@yahoo.com.mx,Ciudad de México,CDMX,655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
GRUPO FARMACE SA,fstaelena@hotmail.com,Ciudad de México,CDMX,655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
GRUPO FORESTAL PICACHO SA DE CV,pisos_picacho1@hotmail.com,Ciudad de México,CDMX,655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
"RADIORAMA, S.A. DE C.V. GRUPO RADIORAMA",presidencia@radiorama.com.mx,Ciudad de México,Ciudad de México,655608126-DIRECTORIO-DE-CORPORACIONES_extraccion_forense.md
"EDICIONES CULTURALES PAIDOS, S.A. DE C.V TUSQUETS EDITORES MÉXICO, S.A. DE C.V. EDITORIAL PLANETA MEXICANA, S.A. DE C.V. GRUPO PLANETA MÉXICO",llopez@planeta.com.mx,Cuautitlán Izcalli,Méx,687828781-DirImport26-Base-de-Datos-Nacional_extraccion_forense.md
"FABRICACIÓN DE MÁQUINAS, S.A. DE C.V. (FAMA) GRUPO VITRO",rpeniche@vitro.com,Monterrey,N.L,687828781-DirImport26-Base-de-Datos-Nacional_extraccion_forense.md
"FÁBRICA DE CAMISAS MANCHESTER, S.A. DE C.V. GRUPO MANCHESTER",ybenavides@manchester.com.mx,Monterrey,N.L,687828781-DirImport26-Base-de-Datos-Nacional_extraccion_forense.md
"Almacenes GALLETAS CUÉTARA, S.A. DE C.V. GÓMEZ CUÉTARA HERMANOS, S.A. DE C.V. GALLETERA SANTA MARÍA DE GUADALUPE, S.A. DE C.V. COMERCIALIZADORA DE GALLETAS Y PASTAS, S.A. DE C.V. GRUPO CUÉTARA",aminaya@gcuetara.com.mx,México,CDMX,687828781-DirImport26-Base-de-Datos-Nacional_extraccion_forense.md
"LABORATORIOS JALOMA, S.A. DE C.V. GRUPO JALOMA",djimenez@jaloma.com.mx,Guadalajara,Jal,687828781-DirImport26-Base-de-Datos-Nacional_extraccion_forense.md
"SABRITAS, S. DE R.L. DE C.V. GRUPO PEPSICO",veronica.torres@pepsico.com,Mérida,Yuc,687828781-DirImport26-Base-de-Datos-Nacional_extraccion_forense.md
GRUPO DICE TELECOMUNICACIONES CORPORATIVO,fabiolam@grupo-dice.com,Azcapotzalco,Ciudad de México,690888392-MAYORISTAS-1_extraccion_forense.md
"(antes MAC EDICIONES Y PUBLICACIONES, S.A.) (CAPITAL MEDIA) (GRUPO",compras@capitalmedia.mx,México,Ciudad de México,699392889-Industridata-empresas-A_extraccion_forense.md
(BACIS) (MINAS DE BACIS) (GB) (COMPAÑÍA MINERA BACIS) (GRUPO BACIS),jaimegn@bacis.com.mx,Durango,Dgo.,699392889-Industridata-empresas-A_extraccion_forense.md
Casmaq Industrias,,San Luis Potosí,S.L.P,709159866-CHANGE-ME-PLEASE_extraccion_forense.md
"Divimex es Cristal, S.A. de C.V. (Corporativo)",,Azcapotzalco,D.F.,709159866-CHANGE-ME-PLEASE_extraccion_forense.md
"Grupo Antolín Silao, S.A. de C.V. (planta",,Hermosillo,Son.,709159866-CHANGE-ME-PLEASE_extraccion_forense.md
"Grupo Industrial Armas, S.A. de C.V.",,Drango,Durango,709159866-CHANGE-ME-PLEASE_extraccion_forense.md
"Grupo Miller, S.A. de C.V.",,México,D.F.,709159866-CHANGE-ME-PLEASE_extraccion_forense.md
"Hayes Lemmerz Industrias Fronterizas, S.A. de C.V.",,Nuevo Laredo,Tamps.,709159866-CHANGE-ME-PLEASE_extraccion_forense.md
"Industrias Argentina México, S.A. de C.V.",,Monterrey,N.L.,709159866-CHANGE-ME-PLEASE_extraccion_forense.md
"Industrias Automotrices R.C, S.A. de C.V.",,México,D.F.,709159866-CHANGE-ME-PLEASE_extraccion_forense.md
Industrias Canasaro,,Tlalnepantla,Edo. Mex.,709159866-CHANGE-ME-PLEASE_extraccion_forense.md
"Industrias Forza, S.A. de C.V.",,Jiutepec,Mor.,709159866-CHANGE-ME-PLEASE_extraccion_forense.md
"Industrias Kirkwood, S.A. de C.V.",,,Edo. Mex.,709159866-CHANGE-ME-PLEASE_extraccion_forense.md
Industrias Magaña,,Ciudad Guzmán,Jal.,709159866-CHANGE-ME-PLEASE_extraccion_forense.md
"Industrias Vermar, S.A. de C.V. (Matriz)",,Zapopán,Jal.,709159866-CHANGE-ME-PLEASE_extraccion_forense.md
Industrias de Hule Galgo S.A de C.V (Guadalajara),,Guadalajara,Jal.,709159866-CHANGE-ME-PLEASE_extraccion_forense.md
"Robert Bosch México, S.A. de C.V. (Corporativo)",,México,D.F.,709159866-CHANGE-ME-PLEASE_extraccion_forense.md
"CORPORATIVO FRAGUA, S.A. DE C.V.",jarroyo@fragua.com.mx,Sector,Hidalgo,74307275-9685097577_extraccion_forense.md
"GRUPO BAFAR, S.A. DE C.V.",ebaeza@bafar.com,,Chihuahua,74307275-9685097577_extraccion_forense.md
"GRUPO CETTO, S.A. DE C.V.",luiscetto@cettowine.com; normapulido@cettowine.com,Cañón Johnson Col Tijuana,Hidalgo,74307275-9685097577_extraccion_forense.md
"GRUPO CONTINENTAL, S.A. (CONTAL)",info@contal.com,,Hidalgo,74307275-9685097577_extraccion_forense.md
"GRUPO DIXON, S.A. DE C.V.",rpelaez@dixonmexico.com,Km. 33.5 Autopista,Querétaro,74307275-9685097577_extraccion_forense.md
"GRUPO EMBOTELLADOR BRET, S.A. DE C.V. (GEBSA)",lregord@bret.com.mx,Carr. Federal a -A,Veracruz,74307275-9685097577_extraccion_forense.md
"GRUPO INDUSTRIAL SALTILLO, S.A. DE C.V. (GIS)",mmramirez@gis.com.mx,,Chiapas,74307275-9685097577_extraccion_forense.md
"GRUPO MÉXICO, S.A. DE C.V.",marefugio.salas@mm.gmexico.com,200,Baja California,74307275-9685097577_extraccion_forense.md
"GRUPO PALACIO DE HIERRO, S.A. DE C.V. (GPH)",esaucedo@palaciohierro.com.mx,230,Durango,74307275-9685097577_extraccion_forense.md
"GRUPO SANTA JULIA, S.A. DE C.V.",santa-julia@compu-redes.net.mx,Km. 98.750 Autop. - Santa Ana Xalmimilulco,Puebla,74307275-9685097577_extraccion_forense.md
GRUPO PULVEX S.A. DE C.V.,tlara@grupopulvex.com,Ciudad de México,Ciudad de México,746727482-Empresas-Rp-Ago-dic-2023_extraccion_forense.md
GRUPO EDUCATIVO INTELIMUNDO,direccion@aulaintelimundo.com,Ciudad de México,Ciudad de México,746727482-Empresas-Rp-Ago-dic-2023_extraccion_forense.md
Grupo Urrea,cdominguez@urrea.net,,Jalisco,130104164-Explor-Ac-i-on-Pro-Ducci-on-Direc_extraccion_forense.md; 157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 298190739-Directorio-Empres-As_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
GRUPO PRODUCTOR Y CONSULTOR XIONAX-ID S.C. DE R.L. DE C.V.,,,Jalisco,152187746-Directorio_extraccion_forense.md
AGROINDUSTRIAS SANTA CLARA,mascall@hotmail.com; santaklara@prodigy.net.com,,Jalisco,152187746-Directorio_extraccion_forense.md
